Bacillus_BU sp000242895		Bacteria	Species
Bacillus_BU sp012843265		Bacteria	Species
Bacillus_BV luteolus		Bacteria	Species
Bacillus_BV suaedae		Bacteria	Species
Bacillus_BW pakistanensis		Bacteria	Species
Bacillus_BW sp024213275		Bacteria	Species
Bacillus_BX ectoiniformans		Bacteria	Species
Bacillus_BZ kexueae		Bacteria	Species
Bacillus_BZ sp022808615		Bacteria	Species
Bacillus_CA shivajii		Bacteria	Species
Bacillus_CA sp002335745		Bacteria	Species
Bacillus_D notoginsengisoli		Bacteria	Species
Bacillus_D piezotolerans		Bacteria	Species
Bacillus_D sp000613125		Bacteria	Species
Bacillus_D sp000821085		Bacteria	Species
Bacillus_D sp001273955		Bacteria	Species
Bacillus_D sp001278805		Bacteria	Species
Bacillus_D sp001510665		Bacteria	Species
Bacillus_D sp001685025		Bacteria	Species
Bacillus_H clausii		Bacteria	Species
Bacillus_H clausii_B		Bacteria	Species
Bacillus_H lonarensis		Bacteria	Species
Bacillus_H miscanthi		Bacteria	Species
Bacillus_H oshimensis		Bacteria	Species
Bacillus_H patagoniensis		Bacteria	Species
Bacillus_H rhizosphaerae		Bacteria	Species
Bacillus_H shacheensis		Bacteria	Species
Bacillus_H sp001310375		Bacteria	Species
Bacillus_H sp900197585		Bacteria	Species
Bacillus_H xiaoxiensis		Bacteria	Species
Bacillus_I endophytica		Bacteria	Species
Bacillus_I filamentosa		Bacteria	Species
Bacillus_J andreraoultii		Bacteria	Species
Bacillus_J thermoamylovorans		Bacteria	Species
Bacillus_O smithii		Bacteria	Species
Bacillus_O sp014896555		Bacteria	Species
Bacillus_P dongyingensis		Bacteria	Species
Bacillus_P idriensis		Bacteria	Species
Bacillus_P indicus		Bacteria	Species
Bacillus_P sp002858905		Bacteria	Species
Bacillus_P sp023823795		Bacteria	Species
Bacillus_T coahuilensis		Bacteria	Species
Bacillus_Z methanolicus		Bacteria	Species
Bacillus_Z methanolicus_A		Bacteria	Species
Bacteroides caccae	47678	Bacteria	Species
Bacteroides denticanum	266833	Bacteria	Species
Bacteroides eggerthii	28111	Bacteria	Species
Bacteroides faecis	674529	Bacteria	Species
Bacteroides fluxus	626930	Bacteria	Species
Bacteroides fragilis	817	Bacteria	Species
Bacteroides galacturonicus	384639	Bacteria	Species
Bacteroides heparinolyticus	28113	Bacteria	Species
Bacteroides nordii	291645	Bacteria	Species
Bacteroides ovatus	28116	Bacteria	Species
Bacteroides pectinophilus	384638	Bacteria	Species
Bacteroides pyogenes	310300	Bacteria	Species
Bacteroides salyersiae	291644	Bacteria	Species
Bacteroides stercoris	46506	Bacteria	Species
Bacteroides thetaiotaomicron	818	Bacteria	Species
Bacteroides uniformis	820	Bacteria	Species
Bacteroides zoogleoformans	28119	Bacteria	Species
Balamuthia mandrillaris	66527	Eukarya	Species
Balneatrix alpica	75684	Bacteria	Species
Bartonella alsatica	52764	Bacteria	Species
Bartonella ancashensis	1318743	Bacteria	Species
Bartonella bacilliformis	774	Bacteria	Species
Bartonella elizabethae	807	Bacteria	Species
Bartonella grahamii	33045	Bacteria	Species
Bartonella henselae	38323	Bacteria	Species
Bartonella koehlerae	92181	Bacteria	Species
Bartonella melophagi	291176	Bacteria	Species
Bartonella quintana	803	Bacteria	Species
Bartonella tamiae	373638	Bacteria	Species
Bartonella vinsonii	33047	Bacteria	Species
Bartonella washoeensis	186739	Bacteria	Species
Bergeyella cardium	1585976	Bacteria	Species
Bergeyella zoohelcum	1015	Bacteria	Species
Bifidobacterium dentium	1689	Bacteria	Species
Bifidobacterium scardovii	158787	Bacteria	Species
Bilophila wadsworthia	35833	Bacteria	Species
Bisgaardia hudsonensis	109472	Bacteria	Species
Blastocystis hominis	12968	Eukarya	Species
Blastomyces dermatitidis	5039	Eukarya	Species
Blastomyces gilchristii	1681229	Eukarya	Species
Blastomyces percursus	1658174	Eukarya	Species
Blautia producta	33035	Bacteria	Species
Bordetella ansorpii	288768	Bacteria	Species
Bordetella avium	521	Bacteria	Species
Bordetella bronchialis	463025	Bacteria	Species
Bordetella bronchiseptica	518	Bacteria	Species
Bordetella flabilis	463014	Bacteria	Species
Bordetella hinzii	103855	Bacteria	Species
Bordetella holmesii	35814	Bacteria	Species
Bordetella parapertussis	519	Bacteria	Species
Bordetella pertussis	520	Bacteria	Species
Bordetella petrii	94624	Bacteria	Species
Bordetella sputigena	1416810	Bacteria	Species
Bordetella trematum	123899	Bacteria	Species
Borrelia brasiliensis	1653832	Bacteria	Species
Borrelia caucasica	1653833	Bacteria	Species
Borrelia crocidurae	29520	Bacteria	Species
Borrelia duttonii	40834	Bacteria	Species
Borrelia hermsii	140	Bacteria	Species
Borrelia hispanica	40835	Bacteria	Species
Borrelia latyschewii	1027767	Bacteria	Species
Borrelia lonestari	38876	Bacteria	Species
Borrelia mazzottii	1653837	Bacteria	Species
Borrelia miyamotoi	47466	Bacteria	Species
Borrelia parkeri	141	Bacteria	Species
Borrelia persica	44448	Bacteria	Species
Borrelia recurrentis	44449	Bacteria	Species
Borrelia turicatae	142	Bacteria	Species
Borrelia venezuelensis	1653839	Bacteria	Species
Borreliella americana	478807	Bacteria	Species
Borreliella burgdorferi	139	Bacteria	Species
Borreliella mayonii	1674146	Bacteria	Species
Borreliella spielmanii	88916	Bacteria	Species
Brachybacterium paraconglomeratum	173362	Bacteria	Species
Brachyspira aalborgi	29522	Bacteria	Species
Brachyspira pilosicoli	52584	Bacteria	Species
Branchiibius cervicis	908252	Bacteria	Species
Brevibacillus agri	51101	Bacteria	Species
Brevibacillus brevis	1393	Bacteria	Species
Brevibacillus centrosporus	54910	Bacteria	Species
Brevibacterium casei	33889	Bacteria	Species
Brevibacterium iodinum	31943	Bacteria	Species
Brevibacterium luteolum	199591	Bacteria	Species
Brevibacterium otitidis	53364	Bacteria	Species
Brevibacterium paucivorans	170994	Bacteria	Species
Brevibacterium ravenspurgense	479117	Bacteria	Species
Brevibacterium sanguinis	232444	Bacteria	Species
Brevundimonas diminuta	293	Bacteria	Species
Brevundimonas vancanneytii	1325724	Bacteria	Species
Brevundimonas vesicularis	41276	Bacteria	Species
Brucella abortus	235	Bacteria	Species
Brucella anthropi	529	Bacteria	Species
Brucella canis	36855	Bacteria	Species
Brucella haematophila	419474	Bacteria	Species
Brucella inopinata	1218315	Bacteria	Species
Brucella intermedia	94625	Bacteria	Species
Brucella melitensis	29459	Bacteria	Species
Brucella neotomae	29460	Bacteria	Species
Brucella pseudogrignonensis	419475	Bacteria	Species
Brucella tritici	94626	Bacteria	Species
Brugia malayi	6279	Eukarya	Species
Brugia pahangi	6280	Eukarya	Species
Brugia timori	42155	Eukarya	Species
Budvicia aquatica	82979	Bacteria	Species
Bulleidia extructa	118748	Bacteria	Species
Burkholderia ambifaria	152480	Bacteria	Species
